#X    T    occ_T5    percent_T5  occ_T2    percent_T2  occ_T5a  percent_T5a
Cl    150  0.432     86.4        0.068     13.6        0.0      0.0
Cl    200  0.42905   85.81       0.07095   14.19       0.0      0.0
Cl    250  0.425     85          0.075     15          0.0      0.0
Cl    300  0.421     84.2        0.079     15.8        0.0      0.0
Cl    350  0.405     81          0.095     19          0.0      0.0

#X    T    occ_T5    percent_T5  occ_T2    percent_T2  occ_T5a    percent_T5a
I     200  0.385     77          0.0       0.0         0.231     23.1
I     250  0.383     76.6        0.0       0.0         0.234     23.4
I     300  0.38181   76.362      0.0       0.0         0.23639   23.639
I     350  0.37929   75.858      0.0       0.0         0.24142   24.142
