r "24g (24g)" "48h (48h)" "48h* (48h*)"
0.0025 0.0 0.0 0.0
0.0075 0.0 0.0 0.0
0.012499999999999999 0.0 0.0 0.0
0.0175 0.0 0.0 0.0
0.022500000000000003 0.0 0.0 0.0
0.0275 0.0 0.0 0.0
0.0325 0.0 0.0 0.0
0.0375 0.0 0.0 0.0
0.042499999999999996 0.0 0.0 0.0
0.0475 0.0 0.0 0.0
0.0525 0.0 0.0 0.0
0.057499999999999996 0.0 0.0 0.0
0.0625 0.0 0.0 0.0
0.0675 0.0 0.0 0.0
0.0725 0.0 0.0 0.0
0.0775 0.0 0.0 0.0
0.0825 0.0 0.0 0.0
0.0875 0.0 0.0 0.0
0.0925 0.0 0.0 0.0
0.0975 0.0 0.0 0.0
0.1025 0.0 0.0 0.0
0.1075 0.0 0.0 0.0
0.1125 0.0 0.0 0.0
0.1175 0.0 0.0 0.0
0.1225 0.0 0.0 0.0
0.1275 0.0 0.0 0.0
0.1325 0.0 0.0 0.0
0.1375 0.0 0.0 0.0
0.1425 0.0 0.0 0.0
0.1475 0.0 0.0 0.0
0.1525 0.0 0.0 0.0
0.1575 0.0 0.0 0.0
0.1625 0.0 0.0 0.0
0.1675 0.0 0.0 0.0
0.17250000000000001 0.0 0.0 0.0
0.1775 0.0 0.0 0.0
0.1825 0.0 0.0 0.0
0.1875 0.0 0.0 0.0
0.1925 0.0 0.0 0.0
0.1975 0.0 0.0 0.0
0.2025 0.0 0.0 0.0
0.2075 0.0 0.0 0.0
0.2125 0.0 0.0 0.0
0.2175 0.0 0.0 0.0
0.2225 0.0 0.0 0.0
0.2275 0.0 0.0 0.0
0.2325 0.0 0.0 0.0
0.2375 0.0 0.0 0.0
0.2425 0.0 0.0 0.0
0.2475 0.0 0.0 0.0
0.2525 0.0 0.0 0.0
0.2575 0.0 0.0 0.0
0.2625 0.0 0.0 0.0
0.2675 0.0 0.0 0.0
0.2725 0.0 0.0 0.0
0.2775 0.0 0.0 0.0
0.28250000000000003 0.0 0.0 0.0
0.2875 0.0 0.0 0.0
0.2925 0.0 0.0 0.0
0.2975 0.0 0.0 0.0
0.3025 0.0 0.0 0.0
0.3075 0.0 0.0 0.0
0.3125 0.0 0.0 0.0
0.3175 0.0 0.0 0.0
0.3225 0.0 0.0 0.0
0.3275 0.0 0.0 0.0
0.3325 0.0 0.0 0.0
0.3375 0.0 0.0 0.0
0.3425 0.0 0.0 0.0
0.34750000000000003 0.0 0.0 0.0
0.3525 0.0 0.0 0.0
0.3575 0.0 0.0 0.0
0.3625 0.0 0.0 0.0
0.3675 0.0 0.0026041666666666644 0.0
0.3725 0.0 0.007812499999999992 0.0
0.3775 0.0 0.005208333333333329 0.0
0.3825 0.0 0.010416666666666657 0.0
0.3875 0.0 0.0026041666666666644 0.0
0.3925 0.0 0.0 0.005208333333333329
0.3975 0.0 0.007812499999999992 0.0026041666666666644
0.4025 0.0 0.005208333333333329 0.0
0.40750000000000003 0.0 0.0026041666666666644 0.0
0.41250000000000003 0.0 0.005208333333333329 0.0026041666666666644
0.4175 0.0 0.005208333333333387 0.0
0.4225 0.0 0.010416666666666657 0.007812499999999992
0.4275 0.0 0.0026041666666666644 0.0026041666666666644
0.4325 0.0 0.02864583333333331 0.0
0.4375 0.0 0.02864583333333331 0.013020833333333322
0.4425 0.0 0.013020833333333322 0.010416666666666657
0.4475 0.0 0.02343749999999998 0.020833333333333315
0.4525 0.0 0.03385416666666664 0.020833333333333315
0.4575 0.0 0.06249999999999994 0.01822916666666665
0.4625 0.0 0.05468749999999995 0.0364583333333333
0.4675 0.0 0.04947916666666662 0.04947916666666662
0.47250000000000003 0.0 0.0729166666666666 0.03124999999999997
0.4775 0.0 0.08854166666666757 0.03385416666666701
0.4825 0.0 0.12760416666666655 0.044270833333333294
0.4875 0.0 0.16406249999999986 0.039062499999999965
0.4925 0.0 0.1979166666666665 0.026041666666666644
0.4975 0.0 0.18489583333333318 0.05208333333333329
0.5025000000000001 0.0 0.2916666666666664 0.04166666666666663
0.5075000000000001 0.0 0.3229166666666664 0.04166666666666663
0.5125000000000001 0.0 0.388020833333333 0.05468749999999995
0.5175000000000001 0.0 0.38541666666666635 0.04687499999999996
0.5225000000000001 0.0 0.48958333333333287 0.04166666666666663
0.5275000000000001 0.0 0.5677083333333328 0.07812499999999993
0.5325000000000001 0.0 0.5885416666666661 0.0807291666666666
0.5375000000000001 0.0 0.7473958333333327 0.09374999999999992
0.5425000000000001 0.0 0.815104166666666 0.11979166666666657
0.5475000000000001 0.0 0.9453124999999992 0.1015624999999999
0.5525000000000001 0.0 0.9895833333333324 0.1536458333333332
0.5575000000000001 0.0 1.3489583333333321 0.15885416666666652
0.5625000000000001 0.0 1.3541666666666656 0.1328124999999999
0.5675000000000001 0.0 1.6484374999999984 0.15104166666666652
0.5725000000000001 0.0 1.7421874999999984 0.1822916666666665
0.5775 0.0 1.9453125000000413 0.17968750000000383
0.5825 0.0 2.0338541666666647 0.17708333333333318
0.5875 0.0 2.1171874999999982 0.2265624999999998
0.5925 0.0 2.5104166666666643 0.2473958333333331
0.5975 0.0 2.5755208333333313 0.2812499999999998
0.6025 0.0 2.710937499999998 0.2526041666666664
0.6075 0.0 2.809895833333331 0.2786458333333331
0.6125 0.0 3.1718749999999973 0.33333333333333304
0.6175 0.0 3.249999999999997 0.33333333333333304
0.6225 0.0 2.9609374999999973 0.35937499999999967
0.6275000000000001 0.0 3.0859374999999973 0.348958333333333
0.6325000000000001 0.0 3.138020833333331 0.364583333333333
0.6375000000000001 0.0 3.3489583333333304 0.380208333333333
0.6425000000000001 0.0 3.320312499999997 0.4088541666666663
0.6475000000000001 0.0 2.9687499999999973 0.442708333333333
0.6525000000000001 0.0 3.057291666666664 0.48958333333333287
0.6575000000000001 0.0 3.0624999999999973 0.4791666666666663
0.6625000000000001 0.0 3.067708333333331 0.5703124999999996
0.6675000000000001 0.0 2.7708333333333313 0.5989583333333328
0.6725000000000001 0.0 2.6979166666666643 0.6406249999999994
0.6775000000000001 0.0 2.499999999999998 0.6406249999999994
0.6825000000000001 0.0 2.3776041666666643 0.6588541666666661
0.6875000000000001 0.0 2.2265624999999982 0.5937499999999994
0.6925000000000001 0.0 1.9895833333333315 0.7578124999999993
0.6975000000000001 0.0 1.9244791666666647 0.7578124999999993
0.7025 0.0 1.7942708333333717 0.7552083333333495
0.7075 0.0 1.497395833333332 0.8177083333333326
0.7125 0.0 1.4322916666666654 0.744791666666666
0.7175 0.0 1.3984374999999987 0.9427083333333326
0.7225 0.0 1.1901041666666656 0.916666666666666
0.7275 0.0 1.1171874999999991 1.0052083333333324
0.7325 0.0 1.0078124999999991 0.9661458333333324
0.7375 0.0 0.992187499999999 1.0026041666666656
0.7425 0.0 0.8437499999999992 1.0130208333333324
0.7475 0.0 0.9114583333333326 1.1406249999999991
0.7525000000000001 0.0 0.7473958333333327 1.0234374999999991
0.7575000000000001 0.0 0.8255208333333326 1.1901041666666656
0.7625000000000001 0.0 0.713541666666666 1.2317708333333321
